"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","323","4.3.3 Verify invalid access token - jti","","Mon May 18 12:24:05 UTC 2026","passed","Mon May 18 12:24:06 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenJtiUsedTwice"
"","59","Policy is accepted ""Enforce data usage end date 1 second in the future""","","Mon May 18 12:24:28 UTC 2026","passed","Mon May 18 12:24:28 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","212","Expect the Catalog request to fail if a credential has an invalid credential subject id","","Mon May 18 12:25:03 UTC 2026","passed","Mon May 18 12:25:03 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","catalogRequest_whenCredentialSubjectIdIsInvalid"
"","5865","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon May 18 12:27:15 UTC 2026","passed","Mon May 18 12:27:21 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody"
"","10259","transferData_withAutomaticRefresh()","","Mon May 18 12:29:28 UTC 2026","passed","Mon May 18 12:29:39 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","2927","transferFile_azureToS3MultipleFiles(Vault)","","Mon May 18 12:25:01 UTC 2026","passed","Mon May 18 12:25:04 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3MultipleFiles"
"","16339","transferData_withTerminate()","","Mon May 18 12:26:59 UTC 2026","passed","Mon May 18 12:27:15 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_withTerminate"
"","51","5.4.3.7 Verifier should reject an expired credential","","Mon May 18 12:24:07 UTC 2026","passed","Mon May 18 12:24:07 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_07_presentationResponse_expiredCredential"
"","68","Policy is accepted ""Usage Purpose""","","Mon May 18 12:24:27 UTC 2026","passed","Mon May 18 12:24:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","5504","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon May 18 12:25:28 UTC 2026","passed","Mon May 18 12:25:34 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","6374","transferData_withSuspendResume()","","Mon May 18 12:26:01 UTC 2026","passed","Mon May 18 12:26:07 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_withSuspendResume"
"","958","shouldFail_whenDestinationBucketDoesNotExist()","","Mon May 18 12:25:21 UTC 2026","passed","Mon May 18 12:25:22 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldFail_whenDestinationBucketDoesNotExist"
"","326","Provider gets 400 when empty asset selector is used","","Mon May 18 12:24:30 UTC 2026","passed","Mon May 18 12:24:30 UTC 2026","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasEmptyAssetSelector"
"","50","Policy is not accepted due to missing context ""Liability""","","Mon May 18 12:24:30 UTC 2026","passed","Mon May 18 12:24:30 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","4785","Contract policy is fulfilled ""DataExchangeGovernance use case""","","Mon May 18 12:26:06 UTC 2026","passed","Mon May 18 12:26:11 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","54","Expect the Catalog request to fail if a requested credential is missing","","Mon May 18 12:26:00 UTC 2026","passed","Mon May 18 12:26:00 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenRequestedCredentialMissing"
"","121","Policy is not accepted because definition is not correct ""Policy with different actions types""","","Mon May 18 12:24:29 UTC 2026","passed","Mon May 18 12:24:29 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","47","Policy is not accepted because definition is not correct ""Policy with unknown actions types""","","Mon May 18 12:24:29 UTC 2026","passed","Mon May 18 12:24:29 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","70","Policy is accepted ""Data Usage End Date""","","Mon May 18 12:24:27 UTC 2026","passed","Mon May 18 12:24:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6229","transferData_privateBackend()","","Mon May 18 12:26:31 UTC 2026","passed","Mon May 18 12:26:38 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_privateBackend"
"","591","Expect the Catalog request to fail if a credential is revoked","","Mon May 18 12:25:02 UTC 2026","passed","Mon May 18 12:25:03 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","8843","transferFile_withBucketCreation_success()","","Mon May 18 12:25:27 UTC 2026","passed","Mon May 18 12:25:36 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_withBucketCreation_success"
"","2539","The Authorization header is empty","","Mon May 18 12:23:41 UTC 2026","passed","Mon May 18 12:23:44 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_emptyAuthHeader"
"","2413","Refresh token success","","Mon May 18 12:23:58 UTC 2026","passed","Mon May 18 12:24:01 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
"","114","discoveryShouldReturn08DspParams_whenDsp2025NotAvailable_BpnAsIdentifier()","","Mon May 18 12:24:14 UTC 2026","passed","Mon May 18 12:24:14 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn08DspParams_whenDsp2025NotAvailable_BpnAsIdentifier"
"","2078","transferFolder_targetFolderNotExists_shouldCreate(Vault)","","Mon May 18 12:24:47 UTC 2026","passed","Mon May 18 12:24:49 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFolder_targetFolderNotExists_shouldCreate"
"","52","Policy is not accepted due to missing context ""Warranty Definition""","","Mon May 18 12:24:30 UTC 2026","passed","Mon May 18 12:24:30 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","15727","Malicious actor should not impersonate a consumer by creating a VP with the consumer membership credential","","Mon May 18 12:24:18 UTC 2026","passed","Mon May 18 12:24:34 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withWrappedConsumerCredential"
"","1392","4.3.3 Verify invalid access token - nbf in future","","Mon May 18 12:24:04 UTC 2026","passed","Mon May 18 12:24:05 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenNbfInFuture"
"","77","Policy is accepted ""Affiliates Region (IS_ANY_OF, one element)""","","Mon May 18 12:24:26 UTC 2026","passed","Mon May 18 12:24:26 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","5438","Contract policy is fulfilled ""MembershipCredential""","","Mon May 18 12:26:00 UTC 2026","passed","Mon May 18 12:26:06 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
